Visa Type,Year,Arrivals
Other (temporary),2014,7480
Other (temporary),2015,8490
Other (temporary),2016,10120
Other (temporary),2017,12320
Other (temporary),2018,13410
Other (temporary),2019,18680
Other (temporary),2020,10390
Other (temporary),2021,32490
Other (temporary),2022,47600
Other (temporary),2023,39640
